test_name,tool,cwe,severity,raw_id
BenchmarkTest00001,qasecclaw,,HIGH,SQL Injection (DAST)
BenchmarkTest00002,qasecclaw,,LOW,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
BenchmarkTest00005,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00006,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
BenchmarkTest00007,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
BenchmarkTest00008,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00011,qasecclaw,,LOW,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
BenchmarkTest00012,qasecclaw,,LOW,java.lang.security.audit.tainted-ldapi-from-http-request.tainted-ldapi-from-http-request
BenchmarkTest00013,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00014,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00015,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
BenchmarkTest00017,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
BenchmarkTest00018,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00019,qasecclaw,,LOW,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated
BenchmarkTest00020,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00021,qasecclaw,,LOW,java.lang.security.audit.tainted-ldapi-from-http-request.tainted-ldapi-from-http-request
BenchmarkTest00023,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00024,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00025,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00026,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00027,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00028,qasecclaw,,LOW,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
BenchmarkTest00030,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00031,qasecclaw,,LOW,java.lang.security.audit.tainted-session-from-http-request.tainted-session-from-http-request
BenchmarkTest00032,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00033,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00034,qasecclaw,,LOW,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
BenchmarkTest00035,qasecclaw,,LOW,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated
BenchmarkTest00036,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00037,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00038,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00039,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00043,qasecclaw,,LOW,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
BenchmarkTest00044,qasecclaw,,LOW,java.lang.security.audit.tainted-ldapi-from-http-request.tainted-ldapi-from-http-request
BenchmarkTest00045,qasecclaw,,LOW,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
BenchmarkTest00046,qasecclaw,,LOW,java.lang.security.audit.crypto.use-of-md5.use-of-md5
BenchmarkTest00047,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00048,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00049,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00050,qasecclaw,,LOW,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated
BenchmarkTest00051,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
BenchmarkTest00053,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00055,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00056,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00057,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00060,qasecclaw,,LOW,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
BenchmarkTest00061,qasecclaw,,LOW,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
BenchmarkTest00066,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00067,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00068,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00070,qasecclaw,,LOW,java.lang.security.audit.crypto.use-of-sha1.use-of-sha1
BenchmarkTest00071,qasecclaw,,LOW,java.lang.security.audit.crypto.use-of-sha1.use-of-sha1
BenchmarkTest00073,qasecclaw,,LOW,java.lang.security.audit.crypto.use-of-md5.use-of-md5
BenchmarkTest00077,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
BenchmarkTest00078,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00079,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00080,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00081,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00082,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00083,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00084,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00085,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00086,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00087,qasecclaw,,LOW,java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag
BenchmarkTest00102,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00103,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00106,qasecclaw,,LOW,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
BenchmarkTest00108,qasecclaw,,LOW,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
BenchmarkTest00109,qasecclaw,,LOW,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
BenchmarkTest00111,qasecclaw,,LOW,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
BenchmarkTest00112,qasecclaw,,LOW,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
BenchmarkTest00115,qasecclaw,,LOW,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
BenchmarkTest00119,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00120,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00123,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00124,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00125,qasecclaw,,LOW,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
BenchmarkTest00133,qasecclaw,,LOW,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
BenchmarkTest00140,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00141,qasecclaw,,LOW,java.lang.security.audit.crypto.use-of-sha1.use-of-sha1
BenchmarkTest00146,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00148,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00149,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00150,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00152,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00154,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00155,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00157,qasecclaw,,LOW,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
BenchmarkTest00159,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
BenchmarkTest00160,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00161,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00162,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00163,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00164,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00165,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00166,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00167,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00168,qasecclaw,,LOW,java.lang.security.audit.crypto.weak-random.weak-random
BenchmarkTest00169,qasecclaw,,LOW,java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag
BenchmarkTest00170,qasecclaw,,LOW,java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag
BenchmarkTest00174,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
BenchmarkTest00176,qasecclaw,,LOW,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request
